sampleName	path_to_R1_fastq	path_to_R2_fastq
iSLK_KO_c1400	/data/Ziegelbauer_lab/Sarah/MiSeq_R2/Flowcell_000000000-JBHWF/Sample_iSLK_KO_c1400/iSLK_KO_c1400_S15_R1_001.fastq.gz	/data/Ziegelbauer_lab/Sarah/MiSeq_R2/Flowcell_000000000-JBHWF/Sample_iSLK_KO_c1400/iSLK_KO_c1400_S15_R2_001.fastq.gz
iSLK_KO_c1741	/data/Ziegelbauer_lab/Sarah/MiSeq_R2/Flowcell_000000000-JBHWF/Sample_iSLK_KO_c1741/iSLK_KO_c1741_S16_R1_001.fastq.gz	/data/Ziegelbauer_lab/Sarah/MiSeq_R2/Flowcell_000000000-JBHWF/Sample_iSLK_KO_c1741/iSLK_KO_c1741_S16_R2_001.fastq.gz
iSLK_KO_kcirc29	/data/Ziegelbauer_lab/Sarah/MiSeq_R2/Flowcell_000000000-JBHWF/Sample_iSLK_KO_kcirc29/iSLK_KO_kcirc29_S9_R1_001.fastq.gz	/data/Ziegelbauer_lab/Sarah/MiSeq_R2/Flowcell_000000000-JBHWF/Sample_iSLK_KO_kcirc29/iSLK_KO_kcirc29_S9_R2_001.fastq.gz
iSLK_KO_kcirc57	/data/Ziegelbauer_lab/Sarah/MiSeq_R2/Flowcell_000000000-JBHWF/Sample_iSLK_KO_kcirc57/iSLK_KO_kcirc57_S10_R1_001.fastq.gz	/data/Ziegelbauer_lab/Sarah/MiSeq_R2/Flowcell_000000000-JBHWF/Sample_iSLK_KO_kcirc57/iSLK_KO_kcirc57_S10_R2_001.fastq.gz
iSLK_KO_kcirc97	/data/Ziegelbauer_lab/Sarah/MiSeq_R2/Flowcell_000000000-JBHWF/Sample_iSLK_KO_kcirc97/iSLK_KO_kcirc97_S11_R1_001.fastq.gz	/data/Ziegelbauer_lab/Sarah/MiSeq_R2/Flowcell_000000000-JBHWF/Sample_iSLK_KO_kcirc97/iSLK_KO_kcirc97_S11_R2_001.fastq.gz
iSLK_KO_ORF72	/data/Ziegelbauer_lab/Sarah/MiSeq_R2/Flowcell_000000000-JBHWF/Sample_iSLK_KO_ORF72/iSLK_KO_ORF72_S13_R1_001.fastq.gz	/data/Ziegelbauer_lab/Sarah/MiSeq_R2/Flowcell_000000000-JBHWF/Sample_iSLK_KO_ORF72/iSLK_KO_ORF72_S13_R2_001.fastq.gz
iSLK_KO_T0_7	/data/Ziegelbauer_lab/Sarah/MiSeq_R2/Flowcell_000000000-JBHWF/Sample_iSLK_KO_T0_7/iSLK_KO_T0_7_S14_R1_001.fastq.gz	/data/Ziegelbauer_lab/Sarah/MiSeq_R2/Flowcell_000000000-JBHWF/Sample_iSLK_KO_T0_7/iSLK_KO_T0_7_S14_R2_001.fastq.gz
iSLK_KO_vIRF4	/data/Ziegelbauer_lab/Sarah/MiSeq_R2/Flowcell_000000000-JBHWF/Sample_iSLK_KO_vIRF4/iSLK_KO_vIRF4_S12_R1_001.fastq.gz	/data/Ziegelbauer_lab/Sarah/MiSeq_R2/Flowcell_000000000-JBHWF/Sample_iSLK_KO_vIRF4/iSLK_KO_vIRF4_S12_R2_001.fastq.gz
iSLK_WT_c1400	/data/Ziegelbauer_lab/Sarah/MiSeq_R2/Flowcell_000000000-JBHWF/Sample_iSLK_WT_c1400/iSLK_WT_c1400_S7_R1_001.fastq.gz	/data/Ziegelbauer_lab/Sarah/MiSeq_R2/Flowcell_000000000-JBHWF/Sample_iSLK_WT_c1400/iSLK_WT_c1400_S7_R2_001.fastq.gz
iSLK_WT_c1741	/data/Ziegelbauer_lab/Sarah/MiSeq_R2/Flowcell_000000000-JBHWF/Sample_iSLK_WT_c1741/iSLK_WT_c1741_S8_R1_001.fastq.gz	/data/Ziegelbauer_lab/Sarah/MiSeq_R2/Flowcell_000000000-JBHWF/Sample_iSLK_WT_c1741/iSLK_WT_c1741_S8_R2_001.fastq.gz
iSLK_WT_kcirc29	/data/Ziegelbauer_lab/Sarah/MiSeq_R2/Flowcell_000000000-JBHWF/Sample_iSLK_WT_kcirc29/iSLK_WT_kcirc29_S1_R1_001.fastq.gz	/data/Ziegelbauer_lab/Sarah/MiSeq_R2/Flowcell_000000000-JBHWF/Sample_iSLK_WT_kcirc29/iSLK_WT_kcirc29_S1_R2_001.fastq.gz
iSLK_WT_kcirc57	/data/Ziegelbauer_lab/Sarah/MiSeq_R2/Flowcell_000000000-JBHWF/Sample_iSLK_WT_kcirc57/iSLK_WT_kcirc57_S2_R1_001.fastq.gz	/data/Ziegelbauer_lab/Sarah/MiSeq_R2/Flowcell_000000000-JBHWF/Sample_iSLK_WT_kcirc57/iSLK_WT_kcirc57_S2_R2_001.fastq.gz
iSLK_WT_kcirc97	/data/Ziegelbauer_lab/Sarah/MiSeq_R2/Flowcell_000000000-JBHWF/Sample_iSLK_WT_kcirc97/iSLK_WT_kcirc97_S3_R1_001.fastq.gz	/data/Ziegelbauer_lab/Sarah/MiSeq_R2/Flowcell_000000000-JBHWF/Sample_iSLK_WT_kcirc97/iSLK_WT_kcirc97_S3_R2_001.fastq.gz
iSLK_WT_ORF72	/data/Ziegelbauer_lab/Sarah/MiSeq_R2/Flowcell_000000000-JBHWF/Sample_iSLK_WT_ORF72/iSLK_WT_ORF72_S5_R1_001.fastq.gz	/data/Ziegelbauer_lab/Sarah/MiSeq_R2/Flowcell_000000000-JBHWF/Sample_iSLK_WT_ORF72/iSLK_WT_ORF72_S5_R2_001.fastq.gz
iSLK_WT_T0_7	/data/Ziegelbauer_lab/Sarah/MiSeq_R2/Flowcell_000000000-JBHWF/Sample_iSLK_WT_T0_7/iSLK_WT_T0_7_S6_R1_001.fastq.gz	/data/Ziegelbauer_lab/Sarah/MiSeq_R2/Flowcell_000000000-JBHWF/Sample_iSLK_WT_T0_7/iSLK_WT_T0_7_S6_R2_001.fastq.gz
iSLK_WT_vIRF4	/data/Ziegelbauer_lab/Sarah/MiSeq_R2/Flowcell_000000000-JBHWF/Sample_iSLK_WT_vIRF4/iSLK_WT_vIRF4_S4_R1_001.fastq.gz	/data/Ziegelbauer_lab/Sarah/MiSeq_R2/Flowcell_000000000-JBHWF/Sample_iSLK_WT_vIRF4/iSLK_WT_vIRF4_S4_R2_001.fastq.gz
LEC_BAC16_c1400	/data/Ziegelbauer_lab/Sarah/MiSeq_R2/Flowcell_000000000-JBHWF/Sample_LEC_BAC16_c1400/LEC_BAC16_c1400_S23_R1_001.fastq.gz	/data/Ziegelbauer_lab/Sarah/MiSeq_R2/Flowcell_000000000-JBHWF/Sample_LEC_BAC16_c1400/LEC_BAC16_c1400_S23_R2_001.fastq.gz
LEC_BAC16_c1741	/data/Ziegelbauer_lab/Sarah/MiSeq_R2/Flowcell_000000000-JBHWF/Sample_LEC_BAC16_c1741/LEC_BAC16_c1741_S24_R1_001.fastq.gz	/data/Ziegelbauer_lab/Sarah/MiSeq_R2/Flowcell_000000000-JBHWF/Sample_LEC_BAC16_c1741/LEC_BAC16_c1741_S24_R2_001.fastq.gz
LEC_BAC16_kcirc29	/data/Ziegelbauer_lab/Sarah/MiSeq_R2/Flowcell_000000000-JBHWF/Sample_LEC_BAC16_kcirc29/LEC_BAC16_kcirc29_S17_R1_001.fastq.gz	/data/Ziegelbauer_lab/Sarah/MiSeq_R2/Flowcell_000000000-JBHWF/Sample_LEC_BAC16_kcirc29/LEC_BAC16_kcirc29_S17_R2_001.fastq.gz
LEC_BAC16_kcirc57	/data/Ziegelbauer_lab/Sarah/MiSeq_R2/Flowcell_000000000-JBHWF/Sample_LEC_BAC16_kcirc57/LEC_BAC16_kcirc57_S18_R1_001.fastq.gz	/data/Ziegelbauer_lab/Sarah/MiSeq_R2/Flowcell_000000000-JBHWF/Sample_LEC_BAC16_kcirc57/LEC_BAC16_kcirc57_S18_R2_001.fastq.gz
LEC_BAC16_kcirc97	/data/Ziegelbauer_lab/Sarah/MiSeq_R2/Flowcell_000000000-JBHWF/Sample_LEC_BAC16_kcirc97/LEC_BAC16_kcirc97_S19_R1_001.fastq.gz	/data/Ziegelbauer_lab/Sarah/MiSeq_R2/Flowcell_000000000-JBHWF/Sample_LEC_BAC16_kcirc97/LEC_BAC16_kcirc97_S19_R2_001.fastq.gz
LEC_BAC16_ORF72	/data/Ziegelbauer_lab/Sarah/MiSeq_R2/Flowcell_000000000-JBHWF/Sample_LEC_BAC16_ORF72/LEC_BAC16_ORF72_S21_R1_001.fastq.gz	/data/Ziegelbauer_lab/Sarah/MiSeq_R2/Flowcell_000000000-JBHWF/Sample_LEC_BAC16_ORF72/LEC_BAC16_ORF72_S21_R2_001.fastq.gz
LEC_BAC16_T0_7	/data/Ziegelbauer_lab/Sarah/MiSeq_R2/Flowcell_000000000-JBHWF/Sample_LEC_BAC16_T0_7/LEC_BAC16_T0_7_S22_R1_001.fastq.gz	/data/Ziegelbauer_lab/Sarah/MiSeq_R2/Flowcell_000000000-JBHWF/Sample_LEC_BAC16_T0_7/LEC_BAC16_T0_7_S22_R2_001.fastq.gz
LEC_BAC16_vIRF4	/data/Ziegelbauer_lab/Sarah/MiSeq_R2/Flowcell_000000000-JBHWF/Sample_LEC_BAC16_vIRF4/LEC_BAC16_vIRF4_S20_R1_001.fastq.gz	/data/Ziegelbauer_lab/Sarah/MiSeq_R2/Flowcell_000000000-JBHWF/Sample_LEC_BAC16_vIRF4/LEC_BAC16_vIRF4_S20_R2_001.fastq.gz
